["e26dbf036cc3b8d94b298b011125d90e","2019-12-24 05:07:21"]
["3c06206c497559ce1dfb9a81bd394778","2019-12-24 07:01:00"]
["754eaa12e91467937c99a6b7926887cc","2019-12-24 07:32:43"]
["b3a9014b36887ad30312444dfc21e96e","2019-12-24 10:18:30"]
["837ec5754f503cfaaee0929fd48974e7","2019-12-24 10:18:32"]
["837ec5754f503cfaaee0929fd48974e7","2019-12-24 10:18:32"]
["2d676408300096c057d4abba1f168e3b","2019-12-24 10:20:36"]
["08e1ca7a672fb519a189fc660ef28b3c","2019-12-24 13:23:17"]
["785dc409be920eeae3bb1dcd6146522a","2019-12-24 13:23:19"]
["ff0857b50eb127328642a69aba1a2985","2019-12-24 14:03:02"]
["ff0857b50eb127328642a69aba1a2985","2019-12-24 14:03:03"]
["ff0857b50eb127328642a69aba1a2985","2019-12-24 14:03:04"]
["d2e540c67db06104b95a513ea12d2e99","2019-12-24 14:18:07"]
["14e62fe28bd2ec702e489aa96e1c860a","2019-12-24 14:18:29"]
["d2e540c67db06104b95a513ea12d2e99","2019-12-24 14:18:30"]
["d2e540c67db06104b95a513ea12d2e99","2019-12-24 14:18:43"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:33:51"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:33:54"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:33:54"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:34:32"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:34:35"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:34:35"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:34:39"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:34:56"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:34:56"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:10"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:11"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:17"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:17"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:26"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:27"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:33"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:34"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:40"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:40"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:46"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:35:47"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:36:04"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:36:04"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:36:04"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:36:37"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:36:40"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:36:40"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:36:57"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:36:57"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:36:57"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:37:09"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:37:09"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:37:12"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:37:15"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:37:36"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:37:36"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:37:37"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:37:37"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:37:45"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:37:46"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:37:54"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:37:55"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:38:03"]
["e9bd694fcb36762b23f535139eabe1f3","2019-12-24 14:38:05"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:38:36"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:38:37"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:40:28"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:41:45"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:41:46"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:41:55"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:41:55"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:24"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:25"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:39"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:40"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:42"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:43"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:55"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:42:56"]
["bc34815903688d8b7bda47caf2cf9196","2019-12-24 14:43:02"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:04"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:05"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:10"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:10"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:17"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:18"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:24"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:25"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:30"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:31"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:38"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:39"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:43"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:44"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:59"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:43:59"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:44:08"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:44:09"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:44:37"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:44:37"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:44:46"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 14:44:47"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:50:50"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:50:54"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:50:54"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:52:05"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:52:09"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:52:27"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:52:28"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:52:39"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 14:52:40"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 14:54:13"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 14:54:15"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 14:54:16"]
["e265448aeab930a3e4265170a580f763","2019-12-24 14:54:57"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 14:54:58"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 14:54:58"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 14:54:58"]
["e265448aeab930a3e4265170a580f763","2019-12-24 14:55:01"]
["e265448aeab930a3e4265170a580f763","2019-12-24 14:55:01"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 14:56:44"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 14:56:46"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 14:56:47"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 14:58:44"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 14:58:46"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:01:16"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:01:16"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:01:25"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:01:26"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:01:35"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:00"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:03"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:04"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:19"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:21"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:22"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:54"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:56"]
["ec296ac2d4f064b2c56277d6b8a0a21a","2019-12-24 15:02:56"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:36:00"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:36:03"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:36:03"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:36:32"]
["59318142534a07b99f8e8207f1603d5f","2019-12-24 15:42:59"]
["59318142534a07b99f8e8207f1603d5f","2019-12-24 15:43:02"]
["59318142534a07b99f8e8207f1603d5f","2019-12-24 15:43:02"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 15:43:23"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 15:43:33"]
["52a9f998f043a43e376967ad909b1215","2019-12-24 15:43:33"]
["59318142534a07b99f8e8207f1603d5f","2019-12-24 15:44:03"]
["59318142534a07b99f8e8207f1603d5f","2019-12-24 15:44:14"]
["59318142534a07b99f8e8207f1603d5f","2019-12-24 15:44:14"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:44:55"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:44:56"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:44:56"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:44:59"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:45:00"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:45:11"]
["3e5b2dbf354bb2f0070f0c26bbafa112","2019-12-24 15:45:12"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 16:00:18"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 16:00:22"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 16:00:34"]
["f47fc18f7284a0b04b4c9cb0d500f13c","2019-12-24 16:00:35"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:00:44"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:00"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:00"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:14"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:01:15"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:02:02"]
["705180f3f5d4f45998b742ee770cc98e","2019-12-24 16:02:03"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:25:36"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:25:41"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:25:42"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:26:00"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:26:03"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:27:42"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:27:43"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:27:59"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:28:00"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:30:56"]
["6e015bb52c1b0b4b0766b26325b04786","2019-12-24 16:30:56"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:09:48"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:10:11"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:10:11"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:17:19"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:17:24"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:17:24"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:20:13"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:20:15"]
["0f512bd3db3c8d0a1b4285a163c5328c","2019-12-24 19:20:15"]
["1dd916825071d681d9190d6b48293441","2019-12-24 19:20:27"]
["1dd916825071d681d9190d6b48293441","2019-12-24 19:20:30"]
["1dd916825071d681d9190d6b48293441","2019-12-24 19:20:30"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:20:31"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:20:34"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:20:34"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:20:34"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:20:38"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:20:39"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:21:37"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:21:38"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:21:40"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:21:50"]
["6ed5abf06db977ddce1933c3566ce577","2019-12-24 19:21:50"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:22:19"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:22:19"]
["bcf57dd55366cf806ad3049e05ad7f2b","2019-12-24 19:22:20"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-24 19:22:41"]
