["ad44f4d4ac3e3b476c8b7e4f8ac21371","2019-12-26 02:43:32"]
["b8096497d131f5b5c8bf998ff24b568a","2019-12-26 07:22:28"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 07:43:27"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 07:43:28"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 07:43:33"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 07:43:34"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 07:43:35"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 07:43:36"]
["812c38bdc9a001479154243a1b536d51","2019-12-26 07:50:32"]
["812c38bdc9a001479154243a1b536d51","2019-12-26 07:50:34"]
["02b78d4c3d42f2a100bf3c4a29135f66","2019-12-26 08:19:07"]
["6980b399fde1b6c2f9c8403997e87b3b","2019-12-26 08:19:09"]
["02b78d4c3d42f2a100bf3c4a29135f66","2019-12-26 08:19:09"]
["02b78d4c3d42f2a100bf3c4a29135f66","2019-12-26 08:19:14"]
["6980b399fde1b6c2f9c8403997e87b3b","2019-12-26 08:19:14"]
["02b78d4c3d42f2a100bf3c4a29135f66","2019-12-26 08:20:35"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-26 08:31:13"]
["0d59af1734a562daa57a3b4a3b66f191","2019-12-26 09:15:45"]
["74fe695af26dca0497a0b70eafb691da","2019-12-26 09:15:45"]
["15a9ab63c3269f85ca98beb206781f41","2019-12-26 11:11:30"]
["bda2e6f909015ea6f78ff37dce8ca186","2019-12-26 12:11:22"]
["bda2e6f909015ea6f78ff37dce8ca186","2019-12-26 12:11:27"]
["bda2e6f909015ea6f78ff37dce8ca186","2019-12-26 12:11:28"]
["bda2e6f909015ea6f78ff37dce8ca186","2019-12-26 12:12:55"]
["bda2e6f909015ea6f78ff37dce8ca186","2019-12-26 12:12:58"]
["6201d09fe5632c0d6391d361ff04c7a3","2019-12-26 13:52:18"]
["785dc409be920eeae3bb1dcd6146522a","2019-12-26 13:52:20"]
["fb06bbe612286c592f34e7e1315dcbbe","2019-12-26 15:09:50"]
["c5a806f139e16ab5254e65e7c7b1bd80","2019-12-26 15:09:55"]
["7da611abca0fa533b854e9d655be6997","2019-12-26 15:09:57"]
["d84782745a99825c480bb0245e3a9e4e","2019-12-26 16:15:29"]
["d84782745a99825c480bb0245e3a9e4e","2019-12-26 16:15:46"]
["d84782745a99825c480bb0245e3a9e4e","2019-12-26 16:15:47"]
["51c36ddd885858c64669e4b617c9f3fc","2019-12-26 16:20:40"]
["aaeb091c5b523a0564549117203d40a7","2019-12-26 16:42:55"]
["fdaa1d99329ec79b541f82ba18316910","2019-12-26 17:15:50"]
["fdaa1d99329ec79b541f82ba18316910","2019-12-26 17:16:00"]
["fdaa1d99329ec79b541f82ba18316910","2019-12-26 17:16:00"]
["fdaa1d99329ec79b541f82ba18316910","2019-12-26 17:16:16"]
["fdaa1d99329ec79b541f82ba18316910","2019-12-26 17:16:18"]
["fdaa1d99329ec79b541f82ba18316910","2019-12-26 17:16:19"]
["d063739b3a97d8a66a50b338ae676894","2019-12-26 17:29:40"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:02:32"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:02:47"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:02:47"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:04:50"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:04:51"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:04:51"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:09:56"]
["cd787f3d1fa61779f27a402478bd57b7","2019-12-26 20:09:59"]
