["9e998dbc47843dfdb88bfc4d46da99a0","2019-12-28 00:05:37"]
["a0070bf99a69477d59cdd6531be4ee73","2019-12-28 00:08:54"]
["a0070bf99a69477d59cdd6531be4ee73","2019-12-28 00:08:57"]
["a0070bf99a69477d59cdd6531be4ee73","2019-12-28 00:08:57"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 01:12:58"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 01:13:01"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 01:13:01"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 01:13:01"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 02:00:33"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 02:00:34"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 02:00:34"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 02:12:23"]
["0e342a77e5f0c3d126e7a67cce4874ce","2019-12-28 02:12:23"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:36:17"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:36:17"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:36:17"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:36:52"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:36:53"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:37:44"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:37:44"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:38:33"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:38:34"]
["47a188609179533c59a1a8980a6bc87d","2019-12-28 02:38:35"]
["19f9fbd53529834e479903f2b05f1275","2019-12-28 02:42:39"]
["9806af27a5a42c5ad359b690761d41e9","2019-12-28 03:03:51"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:34:58"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:34:59"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:35:00"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:35:07"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:35:07"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:35:58"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:35:58"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:37:05"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:37:06"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:37:15"]
["546df09028af52e652f4cd05e864cfe7","2019-12-28 03:37:15"]
["9273ba4fe8a51f2ca44741a17b58d934","2019-12-28 05:49:21"]
["9273ba4fe8a51f2ca44741a17b58d934","2019-12-28 05:49:24"]
["9273ba4fe8a51f2ca44741a17b58d934","2019-12-28 05:49:24"]
["4fa8c7a770a59d7a2b4bf62ae2862a37","2019-12-28 06:31:46"]
["4fa8c7a770a59d7a2b4bf62ae2862a37","2019-12-28 06:31:46"]
["4fa8c7a770a59d7a2b4bf62ae2862a37","2019-12-28 06:31:46"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:51:43"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:51:44"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:51:44"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:51:58"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:51:58"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:08"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:09"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:18"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:19"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:25"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:26"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:44"]
["52a9f998f043a43e376967ad909b1215","2019-12-28 06:52:45"]
["4317a457439ccbe3b3bbfdb501d8af60","2019-12-28 07:25:36"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:40:10"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:40:19"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:40:20"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:00"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:03"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:30"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:30"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:38"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:39"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:46"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:46"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:47"]
["f0be7d84133d04089a5dd74ef927396f","2019-12-28 07:41:49"]
["23a7a2e674482a9f3004d5b59be114f1","2019-12-28 09:06:19"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 09:13:27"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 09:13:29"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 09:13:30"]
["395b4e7c86666801ff0e5b7c31923e66","2019-12-28 09:41:20"]
["395b4e7c86666801ff0e5b7c31923e66","2019-12-28 09:41:20"]
["9f63e21b2a9947e65a6e0dc2c229bb8f","2019-12-28 10:05:31"]
["6b33aaf33f3623b3c85f2e243077c68d","2019-12-28 10:05:31"]
["9232faaa3810ab91bfa72014a5868e79","2019-12-28 10:27:37"]
["9232faaa3810ab91bfa72014a5868e79","2019-12-28 10:28:02"]
["9232faaa3810ab91bfa72014a5868e79","2019-12-28 10:28:03"]
["420920ad5b733fe63ada2c3269631301","2019-12-28 10:31:09"]
["420920ad5b733fe63ada2c3269631301","2019-12-28 10:31:09"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 10:54:53"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 10:54:54"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 10:54:54"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 10:55:18"]
["4e8db223ec7cef2ddc92861ebef61cac","2019-12-28 10:55:39"]
["f407e4882c7937f8ebdcc497aa3228eb","2019-12-28 11:10:58"]
["46602cdf4902af43460f2c728ce0ce8c","2019-12-28 11:10:58"]
["785dc409be920eeae3bb1dcd6146522a","2019-12-28 11:10:59"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:40:59"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:41:02"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:41:02"]
["4abe8be80f48f574da9269ab157133da","2019-12-28 11:44:44"]
["4abe8be80f48f574da9269ab157133da","2019-12-28 11:44:45"]
["4abe8be80f48f574da9269ab157133da","2019-12-28 11:44:45"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:47:46"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:47:47"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:47:47"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:47:54"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:48:08"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:48:09"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:48:12"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:48:13"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:48:13"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 11:48:14"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:20:54"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:20:55"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:21:04"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:21:05"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:21:14"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:21:15"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:21:15"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:27"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:29"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:32"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:36"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:39"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:43"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:46"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:50"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:52"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:55"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:44:58"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:01"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:05"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:08"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:10"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:14"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:17"]
["3551b5e990e901bc14e098656dd62060","2019-12-28 12:45:20"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:50:33"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:50:34"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:50:37"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:50:37"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:51:15"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:51:19"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:51:29"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:51:43"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:51:43"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:51:44"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:52:26"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:52:29"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:55:09"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:55:09"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:55:14"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 12:55:14"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-28 13:16:45"]
["7bcf6b1de76261fc95f2f5cecf4a87c4","2019-12-28 13:30:40"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 13:46:28"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 13:46:29"]
["9ad18459892210b0ae2c0ee73a9d3dd8","2019-12-28 14:43:38"]
["9ad18459892210b0ae2c0ee73a9d3dd8","2019-12-28 14:43:38"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:08:35"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:08:36"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:08:43"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:08:44"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:08:58"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:08:58"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:01"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:03"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:04"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:07"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:08"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:09"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:12"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:13"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:14"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:17"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:18"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:19"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:22"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:23"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:23"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:26"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:27"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:28"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:31"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:32"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:32"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:36"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:38"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:38"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:42"]
["2b59df4c4fffa592540dff9384fa9ce0","2019-12-28 15:09:42"]
["06e0d2c4b98bfd43edbe0de6a6c3e66f","2019-12-28 15:26:38"]
