["e8d4045f9bb91aaa611ef85bdb83a49d","2020-01-03 01:09:53"]
["3641416156bfa849d85753ac48c31b25","2020-01-03 02:18:28"]
["4ca5ebf3ecdb23cd55a69bc97b300804","2020-01-03 03:18:13"]
["8a22eedd69bf6b3d15da6fb28bd48d0c","2020-01-03 03:57:26"]
["1508e7f35f3d805fc7eaa05a7466e246","2020-01-03 08:53:05"]
["1508e7f35f3d805fc7eaa05a7466e246","2020-01-03 08:53:09"]
["1508e7f35f3d805fc7eaa05a7466e246","2020-01-03 08:53:09"]
["04080c520ed852f93a1b11048375963c","2020-01-03 09:53:52"]
["ad33e55433ba1b84ae9c6f1ac4858934","2020-01-03 10:53:42"]
["db78b6177369042a75e2ce4420129523","2020-01-03 10:53:43"]
["3b1ce4649c154135ef1e9cafb3cee719","2020-01-03 11:37:37"]
["29ccca0f65e3b4531f3039749e40f6a4","2020-01-03 11:37:37"]
["3b1ce4649c154135ef1e9cafb3cee719","2020-01-03 11:37:37"]
["0d59af1734a562daa57a3b4a3b66f191","2020-01-03 11:37:37"]
["b328622c982ed43744e9b1e26476b08b","2020-01-03 11:40:48"]
["3641416156bfa849d85753ac48c31b25","2020-01-03 11:47:25"]
["e2e5dbaf7e9e8851d61accf96606c591","2020-01-03 18:27:07"]
["e2e5dbaf7e9e8851d61accf96606c591","2020-01-03 18:27:07"]
["6d2caad400b651efecad10b5a825ce3a","2020-01-03 20:05:24"]
["ed7718b4b3367b8eea4ff60d89e5526d","2020-01-03 20:20:43"]
["ed5674e67ebd46380c74d8364e3e2ae2","2020-01-03 20:37:21"]
["ed5674e67ebd46380c74d8364e3e2ae2","2020-01-03 20:37:22"]
["ed5674e67ebd46380c74d8364e3e2ae2","2020-01-03 20:37:59"]
["7ed79c81d6e5bdbf6161a95312b6a977","2020-01-03 22:38:42"]
["7ed79c81d6e5bdbf6161a95312b6a977","2020-01-03 22:38:42"]
