["225ea60c50a3ca8c21337a7fad6ebc64","2020-01-04 04:11:34"]
["db70ede650ab726708fd269a998a1cf6","2020-01-04 04:48:56"]
["9fd5b813169159c3241341db42d2b2db","2020-01-04 10:48:01"]
["4b6e3cae90b582ae5024f4c20f21c82e","2020-01-04 10:48:01"]
["a0d837ee62b9f162f133d9ab1bb46dc5","2020-01-04 10:48:01"]
["3f6dc5dda00dc497570469a8da0c8bb3","2020-01-04 10:48:01"]
["a2f3248079ae47835e34680f566e8f05","2020-01-04 10:57:46"]
["8da6b950d9a62d28086f60189178cb23","2020-01-04 10:57:48"]
["e24ca2144636f7a74d62eaaa4b1bf92f","2020-01-04 11:24:30"]
["e24ca2144636f7a74d62eaaa4b1bf92f","2020-01-04 11:24:53"]
["e24ca2144636f7a74d62eaaa4b1bf92f","2020-01-04 11:33:23"]
["e24ca2144636f7a74d62eaaa4b1bf92f","2020-01-04 11:33:24"]
["0364f4ba78a5365338753eb77c49fac8","2020-01-04 13:51:45"]
["e2e5dbaf7e9e8851d61accf96606c591","2020-01-04 14:47:04"]
["e2e5dbaf7e9e8851d61accf96606c591","2020-01-04 14:47:04"]
["839932a68b795e4f77180627ed42fb73","2020-01-04 22:51:31"]
["ce7c387e0c1115975db5b1193f46b511","2020-01-04 22:51:39"]
["131f1c17f4bd9f4c629d05ace316c322","2020-01-04 23:55:47"]
["10fcae917858fcfdaf472ed6a18e9b74","2020-01-04 23:55:47"]
