["754eaa12e91467937c99a6b7926887cc","2020-01-05 02:47:20"]
["ce466e6aee2df95a01bc729c14a4bea4","2020-01-05 02:51:52"]
["e24ca2144636f7a74d62eaaa4b1bf92f","2020-01-05 07:22:57"]
["973f8865eb056262eb664cb6b778c82c","2020-01-05 10:38:14"]
["33a9a15c7e197ae5a5321cfb7fc3dcc4","2020-01-05 11:16:18"]
["8da6b950d9a62d28086f60189178cb23","2020-01-05 11:16:20"]
["96334f4e958d15f6ba8e75d4d0e08c32","2020-01-05 13:06:04"]
["9fd5b813169159c3241341db42d2b2db","2020-01-05 13:06:04"]
["72086963a6f97aaf4890a61dd1f6b391","2020-01-05 13:06:04"]
["9fd5b813169159c3241341db42d2b2db","2020-01-05 13:06:04"]
["ce466e6aee2df95a01bc729c14a4bea4","2020-01-05 13:49:12"]
["c84f05a49d475e5b7b96aba2ecf09a1c","2020-01-05 21:43:17"]
["31c0666ecc020a3caefa2c46a83e41db","2020-01-05 22:40:55"]
["57111299ccc95a36939f6a5f98394596","2020-01-05 23:05:18"]
["57111299ccc95a36939f6a5f98394596","2020-01-05 23:05:23"]
["266c563ead8928d454a5a39c5deb1e67","2020-01-05 23:19:08"]
