["2931dd5aa408ef9dccf83c363d6fe145","2020-01-11 00:40:32"]
["4142ec700589ee8d2f3afa2340cc2a3b","2020-01-11 04:14:15"]
["b147a62b4af0e1a4b643f4441e1004cb","2020-01-11 04:14:15"]
["b0330f20f4eae2ac81576127f65b6e4d","2020-01-11 08:00:07"]
["8da6b950d9a62d28086f60189178cb23","2020-01-11 08:00:09"]
["3576365f0c01ebaa2de0fd80ddf2d272","2020-01-11 08:29:41"]
["0fb4702ff0989f2fb2537c7d76ce045d","2020-01-11 09:46:43"]
["0fb4702ff0989f2fb2537c7d76ce045d","2020-01-11 09:46:44"]
["0fb4702ff0989f2fb2537c7d76ce045d","2020-01-11 09:46:45"]
["16acc8eff1288b300c4acad46359a163","2020-01-11 10:52:08"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:33:16"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:33:18"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:33:18"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:33:27"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:33:27"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:34:04"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:35:16"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:35:16"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:35:31"]
["4441273b1c7b907f724214db1676ae28","2020-01-11 13:35:32"]
["7ed640c7e8d092fa5213b7a7db3de260","2020-01-11 17:54:48"]
["7ed640c7e8d092fa5213b7a7db3de260","2020-01-11 17:54:48"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 18:51:08"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 18:51:10"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 18:51:10"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 19:19:47"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 19:19:49"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 19:21:05"]
["f6e6cf51065251a0aa86d24368e10efd","2020-01-11 19:21:05"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:28:14"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:28:16"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:28:16"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:29:17"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:29:17"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:30:30"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:30:31"]
["a91d80b672b7790189250a2fc19972f5","2020-01-11 19:30:31"]
["ce44fa3288b8d257cf84732cfb01ca8a","2020-01-11 21:06:42"]
