["34ab7bc5afdde16f4830733cd8c31c51","2020-01-12 01:12:58"]
["66cb0368802c583e126c5b9021244f7a","2020-01-12 06:30:30"]
["db70ede650ab726708fd269a998a1cf6","2020-01-12 09:30:13"]
["24260c5ae835e87a1a491a5bb9bcec14","2020-01-12 14:40:04"]
["db78b6177369042a75e2ce4420129523","2020-01-12 14:40:06"]
["db70ede650ab726708fd269a998a1cf6","2020-01-12 15:16:30"]
["1c6cbd75d16314730061cb21edc6e5ea","2020-01-12 15:40:21"]
["0f9728be272c88ba03ee98723b28d73a","2020-01-12 15:40:29"]
["4425aa58ef193d49e40c4f15a14847f3","2020-01-12 15:40:32"]
["a2cd4521a270c54419ed2a5f3c098453","2020-01-12 19:27:47"]
["a2cd4521a270c54419ed2a5f3c098453","2020-01-12 19:27:47"]
["db70ede650ab726708fd269a998a1cf6","2020-01-12 20:37:10"]
["1d751536b6effc2e0dade058469c1dd4","2020-01-12 22:31:04"]
["1d751536b6effc2e0dade058469c1dd4","2020-01-12 22:31:04"]
