["b2f3474714576442d8a052dfb6f06716","2020-01-13 02:02:03"]
["8b13990536eb3f828133c094977dcb1d","2020-01-13 09:59:09"]
["a7e57b6d271ac749e60ca9ff1d43a951","2020-01-13 10:44:20"]
["db78b6177369042a75e2ce4420129523","2020-01-13 10:44:21"]
["1b47b4af9c8b42cdcdb475278e192915","2020-01-13 13:19:13"]
["1b47b4af9c8b42cdcdb475278e192915","2020-01-13 13:19:15"]
["1b47b4af9c8b42cdcdb475278e192915","2020-01-13 13:19:15"]
["1b47b4af9c8b42cdcdb475278e192915","2020-01-13 13:19:38"]
["0234069405caeb9e78fdf9bd17e6352d","2020-01-13 15:21:53"]
["c38a1a877f579b35b8077df115befdfe","2020-01-13 15:21:53"]
["c38a1a877f579b35b8077df115befdfe","2020-01-13 15:21:53"]
["29ccca0f65e3b4531f3039749e40f6a4","2020-01-13 15:21:53"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:55"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:55"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["8e950cb5ae347eaa47c9cd7d39304efe","2020-01-13 20:56:56"]
["db70ede650ab726708fd269a998a1cf6","2020-01-13 23:31:58"]
