["7442506bd6648323d67df2e4a2239c05","2020-01-14 02:45:19"]
["e3a3dedd8846dceb91c49d4072f8e8b0","2020-01-14 03:40:14"]
["f64f0a0bc8e0f5ae65a8771f0a22b66e","2020-01-14 04:16:12"]
["5795f6ca45c3b606979ec52424bff907","2020-01-14 04:18:02"]
["db70ede650ab726708fd269a998a1cf6","2020-01-14 06:39:51"]
["40e126c66e1a6752621da1c9e68ded43","2020-01-14 08:30:30"]
["edefa896bd4fc0804db11d21a7a96592","2020-01-14 09:40:10"]
["5212fffc11efdc311fe8882b1d8ccb54","2020-01-14 12:06:41"]
["db78b6177369042a75e2ce4420129523","2020-01-14 12:06:43"]
["db70ede650ab726708fd269a998a1cf6","2020-01-14 13:10:36"]
["7fe28729920485c16ce191ca41d0a8f1","2020-01-14 16:45:42"]
["a0d837ee62b9f162f133d9ab1bb46dc5","2020-01-14 16:45:42"]
["7fdfc5117114ae90d43c6d03788f63ae","2020-01-14 16:45:42"]
["72086963a6f97aaf4890a61dd1f6b391","2020-01-14 16:45:42"]
["edefa896bd4fc0804db11d21a7a96592","2020-01-14 18:27:07"]
["c0e17a91a0fd06807a8bf9266281afb9","2020-01-14 23:28:42"]
["db70ede650ab726708fd269a998a1cf6","2020-01-14 23:54:42"]
