["2f14ff8cab8ea696ab0c023de2e66bfb","2020-01-19 01:57:48"]
["5908601a1a6641e50ab0d278c0a82d40","2020-01-19 04:31:13"]
["758115ee149c503d66d7828fdef395d7","2020-01-19 08:51:44"]
["1d9ea9a2dc45b7972a77b170d0048d35","2020-01-19 10:59:17"]
["6abc17e2811e35c16a9b2a87596ad93d","2020-01-19 10:59:18"]
["60543c42edf549aa68345fcd3fe6d63a","2020-01-19 10:59:38"]
["667cc0d3fecd3889b2555ea19b1bb762","2020-01-19 10:59:43"]
["35241c5c6c807127df20ce7dcc05938c","2020-01-19 10:59:45"]
["0d59af1734a562daa57a3b4a3b66f191","2020-01-19 11:14:26"]
["31cdd790657e4b9930993610c4770099","2020-01-19 11:24:33"]
["db78b6177369042a75e2ce4420129523","2020-01-19 11:24:34"]
["32ff10da9bd15f6978f793681e29d3d2","2020-01-19 16:18:42"]
["32ff10da9bd15f6978f793681e29d3d2","2020-01-19 16:18:45"]
["32ff10da9bd15f6978f793681e29d3d2","2020-01-19 16:18:45"]
["ec264fe6f1914a9e0004475a14e0be57","2020-01-19 22:00:00"]
["f501ad791a664d1af6e871531aaf2f8d","2020-01-19 22:00:01"]
["f501ad791a664d1af6e871531aaf2f8d","2020-01-19 22:00:02"]
["e54f4f5273fd0bbcf1cba3b78a9ed11f","2020-01-19 22:00:03"]
["62166d9b05c4d9614d7d4bd53259ccb3","2020-01-19 22:15:13"]
