["68de63a2ceccf2fb640b4b338c59ce41","2020-01-21 11:20:59"]
["785dc409be920eeae3bb1dcd6146522a","2020-01-21 11:21:00"]
["078e4b6642cecb56adbc14743476c74f","2020-01-21 13:18:17"]
["da3269368f37ba88353c3e210c18dea2","2020-01-21 15:34:55"]
["29ccca0f65e3b4531f3039749e40f6a4","2020-01-21 15:34:55"]
["6a39aef088ac5348c780919d227b9a64","2020-01-21 15:34:55"]
["da3269368f37ba88353c3e210c18dea2","2020-01-21 15:34:55"]
["b6f7645745cd353ee30302f75fbcb644","2020-01-21 21:13:40"]
["9553fb89402b122e44ce267e4d646729","2020-01-21 22:20:08"]
["973779df14771f4db764747950f5fe85","2020-01-21 22:55:33"]
["973779df14771f4db764747950f5fe85","2020-01-21 22:55:33"]
["973779df14771f4db764747950f5fe85","2020-01-21 23:02:18"]
["973779df14771f4db764747950f5fe85","2020-01-21 23:02:18"]
