["714349b18443fd77e92039504cb23aba","2020-01-22 05:06:55"]
["eb3bd82900689e14c5ff057f8d8c0277","2020-01-22 08:16:50"]
["7053adff383116bbce989738caf43c4d","2020-01-22 09:26:01"]
["0821f4c0e6ea0be0c218bba5fd726f82","2020-01-22 11:29:52"]
["20ca0bddcd713c6262ddf5fb8abb15a4","2020-01-22 11:29:52"]
["4e53fb0c0950b2f57879a992aafd2b97","2020-01-22 14:12:38"]
["785dc409be920eeae3bb1dcd6146522a","2020-01-22 14:12:40"]
["666b22115b5c69abc82e6536f17aecbf","2020-01-22 16:42:34"]
["666b22115b5c69abc82e6536f17aecbf","2020-01-22 16:42:38"]
["dd0c30d805a9a5bdd599054551351d5d","2020-01-22 17:50:32"]
["dd0c30d805a9a5bdd599054551351d5d","2020-01-22 17:50:34"]
["dd0c30d805a9a5bdd599054551351d5d","2020-01-22 17:50:34"]
["6cc6c5c4c8cadff65cf5cef56c1e8f88","2020-01-22 18:49:04"]
["c45ac55a4d141343d723394f00223352","2020-01-22 21:12:42"]
["d02f5c4bc7bb4f27f5c0bd3bf2a55839","2020-01-22 21:21:03"]
["6b925cfb82e42c04de0a5238f6787f80","2020-01-22 21:21:24"]
["6b925cfb82e42c04de0a5238f6787f80","2020-01-22 21:21:25"]
["6b925cfb82e42c04de0a5238f6787f80","2020-01-22 21:21:25"]
["6b925cfb82e42c04de0a5238f6787f80","2020-01-22 21:25:11"]
["523b1fa99fcd450332d2c72e8dffb58f","2020-01-22 21:26:04"]
