["53920ccbcfeed9bf915eeb41b112ec2b","2020-01-26 00:38:41"]
["4f48fdd4f931326a2662a75349012e2f","2020-01-26 12:22:05"]
["8da6b950d9a62d28086f60189178cb23","2020-01-26 12:22:07"]
["29ccca0f65e3b4531f3039749e40f6a4","2020-01-26 14:53:43"]
["6a39aef088ac5348c780919d227b9a64","2020-01-26 14:53:43"]
["29ccca0f65e3b4531f3039749e40f6a4","2020-01-26 14:53:43"]
["ab8169b2d60c4d008d3205a95e82ef20","2020-01-26 14:53:43"]
["bf68da1b8c405370610ca3269da68c17","2020-01-26 18:26:48"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 20:40:43"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 20:40:43"]
["53a1a3ea6296d87a5d6282656c2c7695","2020-01-26 20:41:35"]
["64ee6cc3892c3f0e3d905e877284ee31","2020-01-26 20:42:21"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 20:42:51"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 20:42:52"]
["aa2fce61e2e7f75c1804f9f47c2a8e6f","2020-01-26 21:41:01"]
["ad2e2e00a76754b63de83b942d763383","2020-01-26 21:41:04"]
["ad2e2e00a76754b63de83b942d763383","2020-01-26 21:41:07"]
["64ee6cc3892c3f0e3d905e877284ee31","2020-01-26 22:00:26"]
["fa045ee7f8cfd209a447b2e7daaf3675","2020-01-26 22:01:25"]
["fa045ee7f8cfd209a447b2e7daaf3675","2020-01-26 22:01:35"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 22:12:22"]
["fa045ee7f8cfd209a447b2e7daaf3675","2020-01-26 22:12:58"]
["64ee6cc3892c3f0e3d905e877284ee31","2020-01-26 22:32:42"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 22:34:09"]
["fa045ee7f8cfd209a447b2e7daaf3675","2020-01-26 22:44:56"]
["64ee6cc3892c3f0e3d905e877284ee31","2020-01-26 22:45:08"]
["64ee6cc3892c3f0e3d905e877284ee31","2020-01-26 23:24:14"]
["fa045ee7f8cfd209a447b2e7daaf3675","2020-01-26 23:26:06"]
["fa045ee7f8cfd209a447b2e7daaf3675","2020-01-26 23:26:08"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 23:26:11"]
["5eafa34fed0341aa5563c94a86caa1fa","2020-01-26 23:42:47"]
