["81137ca9786275fec9107e56e8b1d8f4","2020-01-28 01:06:01"]
["98f226c26d8eca9ed1b9d8eb563e2c97","2020-01-28 04:35:48"]
["875d686708b298911e2c26aa4c89b50d","2020-01-28 08:15:52"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:14:48"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:14:52"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:14:54"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:14:59"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:05"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:08"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:10"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:12"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:14"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:20"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:25"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:27"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:29"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:31"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:33"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:35"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:37"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:40"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:42"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:44"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:46"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:48"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:50"]
["6ae0bf27344e53647dcb9d6b6dd6f430","2020-01-28 09:15:51"]
["b5171b809669e3096799865e07e36712","2020-01-28 09:16:21"]
["b5171b809669e3096799865e07e36712","2020-01-28 09:16:23"]
["b5171b809669e3096799865e07e36712","2020-01-28 09:16:23"]
["c8af966c04f47ebedc4b16bc1d01848d","2020-01-28 10:38:41"]
["0afcf1d50f88f50122407ac369d3a2bc","2020-01-28 11:07:22"]
["db78b6177369042a75e2ce4420129523","2020-01-28 11:07:23"]
["53a1a3ea6296d87a5d6282656c2c7695","2020-01-28 13:53:51"]
["c1e5e5a3bbe2a0284d4d98d82aff029f","2020-01-28 15:54:26"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:02:50"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:02:55"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:02:56"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:03"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:08"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:12"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:15"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:17"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:19"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:24"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:29"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:31"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:33"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:36"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:38"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:40"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:42"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:44"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:46"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:48"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:50"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:53"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:55"]
["d790989fdfce6399b7f33c03d3333dfd","2020-01-28 17:03:56"]
["9af87dcab536ad589502b6b859fb90ee","2020-01-28 17:04:20"]
["9af87dcab536ad589502b6b859fb90ee","2020-01-28 17:04:37"]
["9af87dcab536ad589502b6b859fb90ee","2020-01-28 17:04:37"]
["a171f438ae43f1dbc7b2d46712591cd7","2020-01-28 17:04:41"]
["a171f438ae43f1dbc7b2d46712591cd7","2020-01-28 17:04:43"]
["a171f438ae43f1dbc7b2d46712591cd7","2020-01-28 17:04:43"]
["96dff393dacaaf5e975ca29d5806f705","2020-01-28 17:27:18"]
["b5643a30ac35ba8896a6c2f98bf21af7","2020-01-28 17:27:18"]
["c4f3e1143bef733802d1cc3be8d23b9f","2020-01-28 17:27:18"]
["87945546e9c091aeeb65bae757f17078","2020-01-28 17:27:18"]
["ba2cdb12061bca8833e9a555e88e5719","2020-01-28 18:47:14"]
["6fba8e5cf84b9a6150486b8d4b497f65","2020-01-28 21:21:45"]
