["4f4b0c363549254ee8736a7ec10af149","2020-01-29 01:25:04"]
["67959c552440528f36f885bfadf1c720","2020-01-29 03:58:20"]
["05cab742d0c868bef04bf298d20b3824","2020-01-29 08:54:03"]
["58f40a2353e0578c411e8143711247df","2020-01-29 09:13:55"]
["a4e1634bd4e5ed7161e4a5de45bb07c0","2020-01-29 09:27:32"]
["448f9bc01614e694083d6052fd3af969","2020-01-29 09:27:32"]
["1517b5f587ab674fc62a55ef7a789cf2","2020-01-29 09:27:32"]
["839a7661a151a9b8b8a4c960f96f925f","2020-01-29 09:27:32"]
["c27fdd801308d48c7ede4703809e75b5","2020-01-29 12:07:25"]
["402803836c56f498b35f97760cbdeeb9","2020-01-29 12:07:28"]
["8f54d5c3001d9c03b36b07c9b5c53214","2020-01-29 15:40:42"]
["785dc409be920eeae3bb1dcd6146522a","2020-01-29 15:40:43"]
["b458721ce0321d0d128c73a4054a27a9","2020-01-29 15:52:43"]
["b29b6aa9dd3cff315200e6c7cb843111","2020-01-29 22:08:37"]
["839932a68b795e4f77180627ed42fb73","2020-01-29 22:08:37"]
["839932a68b795e4f77180627ed42fb73","2020-01-29 22:08:37"]
["adaf65f75141c6f92569c24cd1e9efb2","2020-01-29 22:08:37"]
