["53a1a3ea6296d87a5d6282656c2c7695","2020-01-30 04:50:51"]
["c02bef46cb235a6c95519bb61609782e","2020-01-30 05:11:09"]
["28e9cb4e2572f15f3a19f5c923c7f6d6","2020-01-30 10:55:14"]
["8da6b950d9a62d28086f60189178cb23","2020-01-30 10:55:16"]
["b6af78df0e3debf8d19c70fdd2a81272","2020-01-30 11:54:48"]
["b6af78df0e3debf8d19c70fdd2a81272","2020-01-30 11:54:50"]
["b6af78df0e3debf8d19c70fdd2a81272","2020-01-30 11:54:50"]
["b328622c982ed43744e9b1e26476b08b","2020-01-30 11:56:36"]
["81137ca9786275fec9107e56e8b1d8f4","2020-01-30 12:39:15"]
["0251fcd0f99219918f448260944ba278","2020-01-30 12:54:38"]
["0251fcd0f99219918f448260944ba278","2020-01-30 12:54:41"]
["0251fcd0f99219918f448260944ba278","2020-01-30 12:54:44"]
["0251fcd0f99219918f448260944ba278","2020-01-30 12:54:48"]
["277b96ecd616cc66a17bd48c615f25af","2020-01-30 14:05:52"]
["23c1d799b2890e2a3f330e1c67844231","2020-01-30 14:11:35"]
["c1d542cae44d9b355797035c497a1c6b","2020-01-30 14:51:41"]
["98f226c26d8eca9ed1b9d8eb563e2c97","2020-01-30 16:44:03"]
["5b4637769b3c4ebe2e79537a8dec5d1b","2020-01-30 18:19:27"]
["5b4637769b3c4ebe2e79537a8dec5d1b","2020-01-30 18:19:31"]
["91daaab0514edacc04f24c10a7e73766","2020-01-30 19:06:06"]
["91daaab0514edacc04f24c10a7e73766","2020-01-30 19:06:09"]
["91daaab0514edacc04f24c10a7e73766","2020-01-30 19:06:10"]
["7fdfc5117114ae90d43c6d03788f63ae","2020-01-30 19:15:03"]
["861f1d5b9fee45034363025d87fdb6c4","2020-01-30 19:15:03"]
["29ccca0f65e3b4531f3039749e40f6a4","2020-01-30 19:15:03"]
["861f1d5b9fee45034363025d87fdb6c4","2020-01-30 19:15:03"]
["dd8398679ee7bfba5093dcb08098a8ad","2020-01-30 20:46:14"]
["2d3a043d364406a26c3ad1d35adc4b4b","2020-01-30 21:42:59"]
["bd3f58ca14c48d3a6f24734ed2e90abc","2020-01-30 22:00:35"]
["bd3f58ca14c48d3a6f24734ed2e90abc","2020-01-30 22:00:35"]
["97a5ddfd4c40c2bd4205b34d2932be7f","2020-01-30 22:40:58"]
