["51e4a10ab1afe7cd2e8312bfdeea1543","2020-01-31 08:23:31"]
["413319cb16b876701238930a4041aa5f","2020-01-31 09:14:22"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:21"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:22"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:23"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:24"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:25"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:26"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:27"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:28"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:28"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:30"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:30"]
["e173d4d2ace1d5c1fb1bf5657bb07cc5","2020-01-31 09:50:31"]
["5c25c1cec8351dd497f646c5453d7f0c","2020-01-31 14:20:44"]
["db78b6177369042a75e2ce4420129523","2020-01-31 14:20:45"]
["2e48150dc0e89358ef1a8a679ad2e84e","2020-01-31 16:56:37"]
["2e48150dc0e89358ef1a8a679ad2e84e","2020-01-31 16:56:37"]
["2e48150dc0e89358ef1a8a679ad2e84e","2020-01-31 16:56:38"]
["2e48150dc0e89358ef1a8a679ad2e84e","2020-01-31 16:56:43"]
["2e48150dc0e89358ef1a8a679ad2e84e","2020-01-31 16:56:45"]
["fb06bbe612286c592f34e7e1315dcbbe","2020-01-31 22:18:29"]
["c5a806f139e16ab5254e65e7c7b1bd80","2020-01-31 22:18:32"]
["3446a7b4c50be8aa41a666684c8a7cbb","2020-01-31 22:18:34"]
