["81147404c949ee1349b42d2814d63d18","2020-02-03 01:04:02"]
["f5dc8a2cf7d40f608e1f5e110f07c69c","2020-02-03 04:37:13"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:39:51"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:39:56"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:00"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:04"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:11"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:14"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:18"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:21"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:27"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:30"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:38"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:40"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:46"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:49"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:40:55"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:41:05"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:41:41"]
["b30209b32c1a6016f111289d280da769","2020-02-03 07:42:29"]
["217b6a89513efa0a8afc62897f39f455","2020-02-03 11:36:22"]
["db78b6177369042a75e2ce4420129523","2020-02-03 11:36:24"]
["67959c552440528f36f885bfadf1c720","2020-02-03 11:52:07"]
["8e943a177e5544d211d9b8323b5ad5e5","2020-02-03 16:31:52"]
["67959c552440528f36f885bfadf1c720","2020-02-03 19:36:41"]
["e2ee4091ff4f539b681282a0a2648c14","2020-02-03 21:45:24"]
["e9a1b816c294b997ccb9c1f84386b823","2020-02-03 22:12:19"]
