["b3c8f80382e96d12b4f6205422fd6345","2020-02-05 08:34:35"]
["b6ca44fb8cbc312b989a355b3c288ce2","2020-02-05 11:32:12"]
["ffdc4fd03c81294d776e5217a512ee57","2020-02-05 12:42:52"]
["8da6b950d9a62d28086f60189178cb23","2020-02-05 12:42:54"]
["c3721ca7da4511801f9262b8c50fb7b6","2020-02-05 12:55:21"]
["792c1f8d0fdd75938442c31b8955df20","2020-02-05 13:58:08"]
["7a3af172e24007f0628d965c42e6bdf8","2020-02-05 18:44:15"]
["6aa25516aff4aa77bdfe0e6e370e8bcd","2020-02-05 19:35:47"]
["6aa25516aff4aa77bdfe0e6e370e8bcd","2020-02-05 19:35:47"]
["20ee1f8092079ebc6434b506277aa7c1","2020-02-05 19:35:47"]
["53e0ec27e3b4d772ac020bacf6476ebc","2020-02-05 19:35:47"]
["4311cd124624152a275d0174b711c0b0","2020-02-05 21:09:57"]
