["47f81a776001a710d70c7548458c576f","2020-02-06 03:17:39"]
["d4a459ba2b6d19bc4a0065bd35d34e98","2020-02-06 06:46:24"]
["fb3e81cd1f1ea1b5722ee3cf8d32cbb6","2020-02-06 08:30:50"]
["fd9cec434148ccf6bad28939c16f898e","2020-02-06 08:30:59"]
["ab2f2bdc94fcfb85ae5179fd50167cd7","2020-02-06 09:06:07"]
["ab2f2bdc94fcfb85ae5179fd50167cd7","2020-02-06 09:06:12"]
["0384784845901ee80757a5576b5bf393","2020-02-06 09:27:02"]
["49de586e575bd00976bfda67ee6869c1","2020-02-06 09:47:01"]
["1345c29ff318a6b6dd1d46ddb74cb4ad","2020-02-06 09:47:01"]
["1345c29ff318a6b6dd1d46ddb74cb4ad","2020-02-06 09:47:04"]
["1345c29ff318a6b6dd1d46ddb74cb4ad","2020-02-06 09:47:04"]
["8e943a177e5544d211d9b8323b5ad5e5","2020-02-06 10:38:54"]
["b70edb7421a42dca63c524e652c623a0","2020-02-06 11:19:31"]
["b70edb7421a42dca63c524e652c623a0","2020-02-06 11:19:34"]
["8b0eb26a9df4c4b39eb4e1455c38b99a","2020-02-06 11:39:29"]
["8b0eb26a9df4c4b39eb4e1455c38b99a","2020-02-06 11:39:29"]
["ab2f2bdc94fcfb85ae5179fd50167cd7","2020-02-06 11:58:23"]
["b5f143bd19c79e4d727219304575740d","2020-02-06 12:00:39"]
["9b3e705eba7c19d5e31a06294e2697a4","2020-02-06 12:23:30"]
["9b3e705eba7c19d5e31a06294e2697a4","2020-02-06 12:23:32"]
["9b3e705eba7c19d5e31a06294e2697a4","2020-02-06 12:23:32"]
["9b3e705eba7c19d5e31a06294e2697a4","2020-02-06 12:23:45"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:06"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:08"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:09"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:46"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:46"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:46"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:49"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:49"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:59"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:28:59"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:16"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:17"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:24"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:24"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:30"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:30"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:36"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:37"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:29:46"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:32:32"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:32:33"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:32:33"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:33:04"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:33:04"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:36:29"]
["fa09eb423a34f80ebf6d48df44d1aea5","2020-02-06 12:36:30"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:04:18"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:04:19"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:04:19"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:06:49"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:06:49"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:07:39"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:07:40"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:07:45"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:07:45"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:07:48"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:07:48"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:08:12"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:08:12"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:08:16"]
["4a0c928b9dda92f4bdbc2caf96a7a28a","2020-02-06 13:08:17"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:49"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:49"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:16:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:17:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:17:55"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:17:58"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:18:02"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:18:03"]
["9a64109894a8439f732306b52f4a0c27","2020-02-06 13:18:03"]
["dd3e687d9003f9624574ecbd639b2d1d","2020-02-06 13:24:09"]
["208ac5bc94e57facac91161256e59660","2020-02-06 14:52:51"]
["208ac5bc94e57facac91161256e59660","2020-02-06 14:52:51"]
["208ac5bc94e57facac91161256e59660","2020-02-06 14:52:53"]
["208ac5bc94e57facac91161256e59660","2020-02-06 14:52:54"]
["3f9bf7490a559bf9dae44517bb8167bf","2020-02-06 15:15:53"]
["3f9bf7490a559bf9dae44517bb8167bf","2020-02-06 15:15:58"]
["3f9bf7490a559bf9dae44517bb8167bf","2020-02-06 15:15:59"]
